,Verification Status,review,sentiment
1655,Verified Review,london to hong kong on a very new b er i was upgraded to wt at the gate owing to a full flight and probably being an emerald with oneworld i can now distil the difference in serviceproduct with economy on the same route with wt you will receive one amenity pack eyeshades socks toothbrush one welcome drink cava or water one glass for drinking with the first meal a slightly wider seat inch minor extra recline inch and a little extra legroom as well as a meaty dish for the main dinner i am vegetarian so picked the vegetarian which was the traditional ba carby pasta from wt which was fine i enjoyed the ife the crew were nice and the flight on time i wouldnt pay a premium of more than for the wt experience for this flight or other wt routes as a service its not really premium economy in fact its inferior to economy offered by star carriers,positive
1656,Verified Review,london to dubai good crew everything else terrible caught up in the shambles of ba it system collapse on th may so very lucky to get tickets on flight next day ba staff hung out to dry by appalling senior management flight itself next day crew excellent but the ancient not so with faulty ife food ok seat comfy but had seen better days and needed reupholstering was told luggage would be on board as it was stuck in the bowels of heathrow from the day before luggage finally turned up wednesday days late compensation claim into ba rather a lot hopefully all gets paid ba have had a number of it failures past months simply too unreliable at the moment so will be flying other carriers emirates on this route for a couple of years until i know ba has resolved its reliability problems and the product offering is more competitive shame really ba used to stand for something and its now gone to the dogs,positive
1657,Verified Review,london heathrow to vancouver i am very disappointed by bas gradual decline today i flew in the upper deck of the a bas business class seats once the best in the industry are almost the worst the pods are abreast in the upper deck and very narrow this is an unpleasant aircraft with toilets to share between passengers in business class i think thats a poor ratio the flight attendants were initially reasonably friendly though i noticed no acknowledgement for being a gold card holder but their interest waned as the flight progressed it took hours to get a drink and almost hours from take off before the main course was served the beef was cold as were the vegetables it was actually inedible i suspect it had just been left out after dinner we were half way through our hour flight and i was never offered another drink i gave my suit to be hung up and had to beg to reclaim it at the end of the flight british airways has gone from being one of the best to one of the worst airlines i have flown recently this is a great shame the cabin is bad the food is awful the flight attendants unpleasant and ife ok,negative
1658,Verified Review,i took a long daytime flight from tokyo to london about hours the boeing seemed fairly new and was clean and the premium economy seat is fairly comfortable for a day flight with good recline although unfortunately there is no legrest and a large entertainment box uses up much of the foot space the catering was really poor and seemed to have been affected by cost cutting lunch was a small portion of very tough beef accompanied by a tiny salad which was still frozen there was then nothing for nine hours no snacks available anymore until a second hot meal of a small chicken curry was served shortly before landing a choice of drinks was offered only once shortly after takeoff during the entire remainder of the flight the crew came around again twice with water and juice but nothing else was offered the second meal came with a minuscule cup of water and nothing else i asked for more water but the crew said they didnt have any by the time we landed i was hungry and thirsty and i would advise anyone using this flight to bring their own food and drink the crew were invisible for most of the flight the ife system had a very good choice although the screen seemed smaller than on some airlines overall not recommended,positive
1659,Verified Review,british airways were truly awful on this flight from heathrow to miami very old tired aircraft these old aircraft are in desperate need of a refit seat back screens unbelievably small what shocked me most is just how much ba have cut back on their food service no bag of pretzels with the first drink serving anymore dinner was only two choices and one was a vegetarian option the chicken breast i received was laughable i have seen bigger chicken nuggets this came with a inedible salad concoction and a bread roll the only other food offered was two tiny sandwich triangles for afternoon tea with a miniscule scone my advice would be to eat before your flight otherwise you will be very hungry staff were miserable and on the return leg kept me awake all night by talking very loudly in the galley unfortunately ba have now become a long haul ryanair scrimping on every little thing not good,negative
1660,Verified Review,we flew out of terminal on saturday with british airways to brussels and found everyone to be very helpful and friendly we even had a nice chat with a pilot as we went up in the lift to departures we got the feeling that people were very anxious to put the disastrous previous days behind them we used the lounges as we have a silver card and they were busy but well staffed and the food was good on the aircraft we took our own home made sandwiches since we really didnt fancy the marks and spencer prices i bought a bottle of water close to our gate and thought that was expensive enough but the ba on board water was per bottle i did notice that the flight attendants were very good at giving out small glasses of free water like many i cant get used to this budget airways approach its clearly embarrassing the staff who are very good on our return we had big delays due to the storms in southern england and air traffic restrictions then we had brussels air traffic delay due to their system failure at all times the first officer kept us well informed and we got back to london and were parked on a good jetty so that we could rush to catch up this delay was not ba s fault and the cabin crew on both flights were friendly and efficient i enjoyed the flight but hope that ba do not make any further cuts and perhaps think about restoring free food and beverages again one day,positive
1661,Verified Review,british airways seems to be going from bad to worse on my london heathrow to lisbon flight the card machine didnt accept american credit cards so the gentleman next to me couldnt pay for his drink the length of time it took the flight attendants to reach the back of the plane meant most people werent offered anything to eat or drink until minutes to landing the flight attendants were very apologetic but you feel that they themselves are fed up and seem genuinely embarrassed to be working for ba return flight was delayed by mins which seems to be a running theme with this airline they are no better than the budget airlines but with anything other than budget prices,negative
1662,Verified Review,booked gatwick to lima return out world traveller premium economy which was not too bad return club world was appalling seats and surround grubby equipment maintenance poor service was appalling staff rushed almost shouted at when asking what we wanted expected us to know how to operate equipment food thrust at us not served everything rushed no politeness in service drink choice not outlined just what do you want if it were not for the flat beds overnight it is a total waste of money it is so sad that ba is going to the dogs a business is nothing without customers and ba are doing a great job at alienating them i will not fly ba long haul again,negative
1663,Verified Review,london to johannesburg after getting caught up in the chaos of the bank holiday weekend it fiasco and the lamentable way in which the situation was handled by ba i approached my flight back to the uk with some trepidation my fears were not unfounded as the aircraft had been sitting at jnb for most of the day there were no delays and boarding started very early i was seat a top deck double seat and the leg room was no better than you would find on a ryanair flight to dublin indeed due to the location of the electronic equipment box under the seat it was a little more cramped the service on ba flights really is terrible i along with many other passengers was treated like an inconvenience and i felt the cabin crew would really have preferred it if we werent there i was close to the galley and sleep was pretty much impossible due in part to the cabin crew gossiping loudly about other members of staff i will do everything i can to avoid flying ba in the future,positive
1664,Verified Review,washington to sofia via london flying world traveller plus premium economy to london and eurotraveller economy on the short hop top quality service whatever may have declined in economy class premium economy is as good as ever with in legroom and meals really tasty in this instance that can be ordered in advance the cabin crew are still the ba strength creating a relaxed congenial atmosphere in the cabin smooth connections at terminal with no waiting either way and tribute cornish ale available on the long haul drinks menu and service is a winner ill admit the ms fooddrink service can be a bit timeconsuming as far as handling the payments but works ok otherwise british airways continue to deliver a firstrate travel experience and im sticking with them,positive
1665,Verified Review,edinburgh to rome via heathrow i have been either ba gold or silver for many years the last years i was in texas but ensured my return to uk that flights were always ba and the same for my family who visited in july i returned to uk for business and had to stay until jul th i was points off retaining get gold if i had flown back on july i would have retained gold i had enquired about this before making the booking and was told this will not be a problem however i was duly downgraded to silver i then booked a holiday in rome for my wife and myself and i was amazed that ba have removed the free in flight drinks not even a free cup off tea if ba wish to behave like a budget airline then they should charge flight prices comparable to a budget airine they have in the past left me stranded in moscow for days when snow closed heathrow yet bmi were still flying into heathrow i have encountered rude staff on check in long queues even for executive members they are no longer living up to their acclaimed standards and are not a star airline and should lose that status i will in future fly brussels airlines and lufthansa or internal uk easyjet they are living on their past and need to start to realise with no passengers they will not stay in business and with unhappy customers who have to use them they will let get poor reviews if ba wish to be a budget airline then start charging like one,positive
1667,Verified Review,it was the fist time i traveled with british airways and i believe it will be the last i had to reschedule my flight from tampa to tirana via gatwick from december to march first i couldnt change it online as the manage your flight option didnt work they told me it happens some times and i tried it a lot of times before contacting them so i had to pay for changing it via phone they took the money even though it wasnt my fault i made more than calls from november to a day before traveling to reissuing my eticket after a long wait to get connected they took my credit card data and said they will proceed to reissuing the eticket and sent it to my email for nearly months it never come until day before the flight every time i called they said they didnt have my cvv which i reconfirmed every time when asked when will i get the ticket they said after days which only came on th of march and i was to travel on th once they nearly set me to fly to charlotte nc while confirming my data and cvv during one of the calls i made besides this the food was ridiculous but never mind that the anxiety time consumed and the distress they caused cant be either bought or excused how can a consolidated serious company as they proclaim can be so irresponsible unconcerned for the customer not complying to the minimum standards i expected soo much from them it was a total disappointment,positive
1668,Verified Review,chicago to london heathrow on british airways much vaunted sleeper service in business class be advised this service is a joke never mind the terrible dated seats facing one another but the ba sleeper service mandates you eat in their awful biz class lounge at ord and then suffer no dinner service on the plane this is a monumental con also imagine your worst school meal in a school cafeteria and that is what you get in the ba lounge at ord the food was some kind of dreadful steamed slop that you literally would not feed your dog i used to imagine that long haul business and first class passengers were valued by transatlantic airlines the british airways business class product is the worst by far old aircraft old seats disillusioned crew and simply the most terrible food imaginable british airways hold their premium class passengers in contempt what happened to english class and manners,negative
1669,Verified Review,gatwick to funchal british airways has won the race to the bottom leg room on this flight was appalling worse than ryanair i can understand why no free food on short hops but this flight was four hours i wonder just what we gained from a full service airline our previous british airways flight was on a gatwick they are adding an extra seats to these planes with the recent it debacle they have reached the bottom and dont need to do anything else,negative
1670,Verified Review,i am shocked about how the first class on board service has deteriorated with very evident cost cutting on what is supposed to be our national flag carrier on our flight to tokyo narita from london heathrow we were advised by the cabin crew soon after take off that the catering supplies loaded were limited to cut a long story short this meant that my partner who was the last to be served was told what was available rather than asked what he would like this is in spite of there being only passengers in the seat cabin for breakfast prior to landing we were informed that only two cooked breakfasts were available so it would be first come first served the presentation of the food that was available was poor certainly not worthy of the fine dining description ba uses for its first class catering we spoke to the cabin services manager who was extremely apologetic confirmed that there has been cost cutting apparently at the behest of the new ceo who comes from low cost sister airline vueling with a resultant increase in unhappiness complaints from passengers the famous first class tasting menu we enjoyed on previous flights is now gone other cost cutting around on board service is very evident even the rose in the first class toilet was dead which really epitomises the lacklustre airline that ba has become i fly regularly long haul with klm their new business class offering is now far superior to bas first how can our national airline with whom we should be proud to fly compete with other superior european gulf carriers when the emphasis seems to be only on never ending cost cutting that now affects even the most premium passengers the cabin services manager entered a formal complaint on our behalf from on board on may almost a month later although immediately acknowledged ba have not responded probably due to more administrative cost cutting i should add that the ground service at heathrow t the concorde room were very good but as regards on board service ba offends their premium passengers like this at their peril,positive
1671,Verified Review,absolute cheapskates business class flight in club europe from luxembourg to london heathrow is beyond a joke and clearly on a shoestring budget no premeal drink offered limited selection of drinks with wine served in plastic screwtop mini bottles warm with no nutsnibbles meal selection consisted of a chicken saladprawn which looked reasonably nice however im allergic to seafood or a toasted cheese roll the roll was dry tasteless and completely unsatisfactory could have easily bought something better at greggs crew could clearly be heard bad mouthing their ceo over the airlines recent it problems friendly crew though cant help but feel sorry for them,positive
1672,Verified Review,geneva to dallas via heathrow i checked online and confirmed i had two bags of allowance to check in with my premium economy seat purchased however when i went to the airport to check in the luggage ba insisted that i only had one bag allowance and i had to pay i had no other choice so i paid i checked with ba in heathrow and they confirmed i had two bags now i will have to go through sending the customer service a letter to get a refund not happy that their system is not in coordinance with each other,positive
1673,Verified Review,choose a budget airline the magic of our national carrier has gone we have always chosen british airways as our preferred carrier where possible and happy to pay a higher premium for the once great service but now its on par or lower than other low cost carriers firstly we didnt get any priority boarding with our two young children easyjet provides this secondly we reserved seats as travelling with our two children they both fight for who is going to sit at the windows on boarding we were told the plane has changed therefore we now had assigned seats thirdly after paying over for two small alcoholic drinks for me and my wife i needed the loo first class was out of bounds so the only option the rear of the plane however the crew were busy serving and not prepared to move to allow me past i guess those drinks they were selling had the ba executive team seeing many so me being a customer needing the loo was second in priority after a long period they moved to the rear to allow me past but once out they had gone back to the middle of the plane a crew member at the back galley even laughed and said your not getting back and therefore fairly offered me a free cup of tea our flight from heathrow to bergen was only an hour and but i spent the majority in the rear galley chatting with the said crew member the return flight the cabin crew had as much enthusiasm as my year old grandmother and technology the safety briefing came over a tannoy that would have sounded half decent in and to top it off the lead steward whilst taxiing for takeof asked the crew cabin crew seats for landing the captain gave us an update on takeoff and then radio silence for the rest of the flight even upon landing he stood at the front having a chat with the said steward as we disembarked about how some machine must have come to life with that landing all minor points but they were the points we enjoyed with ba points that made us choose them small points that made the difference the pilots at the end of the flight welcoming or thanking the customer and us thanking them the cabin crew that always went over and beyond the free drinks that made us feel special to ask and get id rather pay a premium for all that or choose a budget airline gutted our british airways national carrier has become a budget airline perhaps cost savings are needed but for now although we are a minor factor and small fry in the bigger picture they need to cost save some more to make up our future tickets and my recommendations are now also dead for me their usp was their service without that there is no longer a point,positive
1674,Verified Review,london heathrow to seoul return i booked my return flights back in january when ba were having their annual sale for around thought this was a bargain as they are usually up around london to seoul flight was very pleasant didnt get to use the business class lounge in heathrow as my connection from manchester was delayed by minutes cabin crew on the actual flight were excellent and very attentive food and drink was what you would expect of most business class airlines with a decent amount of highquality menu choices the seat layout of with seats facing in the opposite direction to each other and a divider between them felt a little bit cramped the seats were very comfortable and went flat which is better than some however there is a folddown seatstep in front of you that you have to use to able to stretch out fully im and found i was at my limit of being able to stretch out fully so anyone taller than that would probably be a bit uncomfortable inflight entertainment had a decent range of tv and films to choose from including some of the more recent releases toilets were also smaller and more cramped than on other airlines that ive flown business class with before the only let down was that the cabin itself was hotter than the sun and i found it difficult to sleep because of this seoul to london was what really let ba down for me and left a sour note on what was an amazing months in korea in the days leading up to the flight bas massive it failure and the lack of information and help surrounding it meant i was having to frantically check if my flight would be leaving at all with the flights on the th and th being cancelled completely luckily they got it sorted in the early hours of the morning on the day of the flight the flight and cabin crew arrived late for the flight and so takeoff was delayed by minutes i had a connecting flight to catch to manchester so it was imperative that everything went smoothly as i had just over an hour after landing to make it the flight was lovely with the cabin crew doing an amazing job the pilots managed to make up for lost time and so we ended up landing minutes earlier than scheduled however due to the backlog of delayed and cancelled flights from the past couple of days there was another flight in the space where mine was supposed to park this meant a delay of minutes while we waited on the tarmac for the space to become free this was time i could not afford to lose we eventually disembarked at which meant i had to sprint through the airport to passport control and to the baggage reclaim really wish i hadnt as it still took minutes for the bags to come off the plane by the time i had done all this and gone through arrivals it was and the gate was closing in mins talked to ba customer services and got rebooked on another flight back to the iom where i live from london city but they could only book me on the pm flight the next day wasnt at all happy with the experience overall because of this and for what you would normally pay over when not on sale it really wasnt worth the hassle for me personally,positive
1675,Verified Review,los angeles to london british airways has one of the worst customer service you can find flight attendants were rude seat and food are ok but i find them worse than competitors flying this route they dont have wifi,negative
1676,Verified Review,flew british airways from heathrow to geneva cheapskate airline now only tap water available everything else needs credit card american family with hungry young boys couldnt buy anything for them as their machine wouldnt take us card return flight cancelled after hours on tarmac with the it crash staff brilliant including pilot who kept ac on and updated us regularly as much as he could then ba ticket desk unmanned in geneva airport so queues just standing we were lucky to find swissair flight home or i think wed still be there,positive
1677,Verified Review,gatwick to lima return in business class no choice of seats until hr before the flight unless you paid extra i understand their desire to reward frequent flyers but paying pp per flight if you arent is just a huge irritation factor when you have already forked out so much for biz by the time we were able to check in there was only one option left if we wanted to sit together new ba lounge at lgw smart but packed out at the start of easter holidays limited food offering at breakfast no hot food at all unless you count lukewarm pastries fa service on flights in both directions was good though outbound the cabin lights were switched off for the entire flight between meal services despite it being a day flight food and drink were fine but nothing special some choices not available by the time they got to us seating layout of in business class is very cramped especially if the flight is full the highestdensity seating ive ever experienced in business and there was no surface to put anything on unless you had your tray table open small drawer at your feet recommend the window seat next to the bulkhead if youre travelling solo no legs to climb over lieflat seat was comfortable though for a short person ife was poor compared to competitors hard to angle the screen appropriately with a limited choice of movies available on the way home we didnt mind a long layover at lim as we thought we could use the lounge no such luck we couldnt be checked in all the way through from lpb so had to pick up luggage go through immigration again and wait several hours in a hot airport with hardly any seats before ba staff appeared to check in the flight home only seat choice available again were two together on the aisle side of a middle pair very fortunate not to have anyone in the other middle seat next to me otherwise it would have felt very intimate with a total stranger havent travelled longhaul with ba for several years and can only describe it as a functional value service even in business though its not cheap id only use ba again if they were the most convenient by a long way as happened here for a direct flight from london or for a great price on shorthaul theres really no comparison to emirates longhaul offering in business,positive
1678,Verified Review,london heathrow to santorini we flew with of our family to santorini the business class seats are a joke i am but i just could not move in the seats they are so tight we then learnt from the steward that its a new configuration that hasnt gone down very well with customers this once great airline thats gone from the best to the worst in years and on european routes its no more than a budget carrier money is the key driver for ba with customers very last on the list we all felt we had paid for a service we never received,positive
1679,Verified Review,london heathrow to bilbao i fly british airways a fair amount mainly for pleasure but recently they are beginning to slip my last flight was with two friends for our annual outing this year to bilbao can not fault the staff or flight crew however the cancellation of free on board food for short haul is stupid there is now no reason to use ba for short haul when there is a low cost alternative this cost cutting may well back fire probably initiated by the same imbeciles who caused the computer outsourcing problems recently,positive
1680,Verified Review,madeira to london i was always of the belief that british airways provided a better standard of economy class travel but i realise now that they are no better than budget airlines in fact i have experienced far better service on easyjet we waited over hours to be offered a drink and i ordered marks spencer heated focaccia which had clearly been in the oven for hours on top of that there were just toilets for people while business class customers enjoyed toilets between of them of course we also had to queue behind the serving trolley to get to the toilet so you can imagine how long that took they make it very clear that economy class is just that but its shame the price doesnt match the standard of service all in all a very disappointing experience and i will certainly think twice about choosing ba in future,positive
1681,Verified Review,edinburgh to gatwick booked the ticket on the last minute due to missed train and tight schedule this was my first time flying with ba and probably my last if i have other option it didnt feel like a national carrier felt more like budget airline with no snacksdrinks and fare class that doesnt include checked baggage flight was smooth enough efficient but boarded mins late in edinburgh no service whatsoever served during the flight unless you pay an additional fee,positive
1682,Verified Review,rome to london thursday may flight scheduled to leave at delayed due to technical issues for hrs and then cancelled at this caused missed connecting flight to los angeles very poor communication with passengers by desk attendants no one took charge of our situation information filtered through italian speaking passengers who sought help with staff from iberia airlines ba staff was gone after pm and we were shuttled to hotel and told a rep would give us further information at hotel no one from ba was seen or heard from at hotel multiple calls by passengers to ba resulted in little to no assistance friday may passengers are shuttled back to airport where chaos has broken out because there is little assistance once again at ba counter after hour in line i obtain a boarding pass on a flight to london with connection to los angeles however the ba desk attendant informs me that the flight out of rome is late due to technical issues and i will once again miss the flight out to la im appalled at the lack of educated experienced ba assistance ba abandoned us at rome airport in addition there web site is of no help flight information was outdated and impossible to this day to reach customer contact,negative
1683,Verified Review,kuala lumpur to london very different from the flight over its all about the crew and how they perform or how serious they take their job one crew was rude and when asked could i have a glass of water told me that it would take a long time and he disapeared down the back to chat to his fellow workers the food was slapped up and we were not offered another drink all male crew and due to it being an night flight the crew spent the time down the back and ignored when called its a shame when you see ba trying to turn around and survive and then you have lazy rude staff giving little to no service to the customers or the airline,negative
1684,Verified Review,great flight from london to kuala lumpur on the boeing the crew were amazing and friendly and couldnt have done enough the food served was of good standard and we were asked a few times if we would like more drinks one crew member who said she had been with ba for many years was professional and excellent at her job,positive
1685,Verified Review,london heathrow to miami i was looking forward to this flight it was saturday so no work the following day and k on the upper deck used to be such a treat i have read many reviews recently of ba falling behind the competition so my expectations were low but even these were beaten by this overall truly awful experience firstly i have to say the crew on the flight were super in every way nothing was too much trouble and they seemed to genuinely be enjoying their work i should have given my ba golden ticket to one of them but forgot however no matter how good the crew it can not make up for everything else being totally awful and shabby the seat was filthy with what looked like ketchup from the previous flight and crumbs everywhere not a nice start the aircraft was very very old a lot of the interior was patched up with white gum the ife didnt work properly amenity kit was a bag and the headsets poor quality the toilets compared to aa were small unpleasant seat is not up to most business class standard food was awful and the club kitchen almost nonexistent these days i would choose aa or delta united virgin any day over ba it was a shame the flight manager seemed to spend his time going round the cabin apologising and giving some avios to try and make people less annoyed by the whole experience,negative
1686,Verified Review,moscow domodedovo to houston via london heathrow roundtrip in economy class all the flights were full in economy with the exception of ba which was to full british airways flight attendents are cordial and professional there was a wide range of beverages served including complementary alcoholic beverages the standard inflight meals were not bad but not great either the hour flight between london and houston featured a dinner early in the flight and a snack at the end of the flight the hour flight between london and moscow featured a snack at the beginning of the flight i was surprised by the leg room in economy i am not tall but at cm tall inches i was able to extend my legs fully under the seat in front of me this made these long flights bearable both flights offerred headphones blankets and pillows the cabin temperature on the flights to houston was cold i had to put on a light jacket the cabin temperature on the flight from london to moscow was too warm i was sweating when people are using the flight safety card to fan themselves you know it is warm the inflight entertainment screen on the b in economy is of poor quality and needs to be upgraded i could feel the heat being emitted from the screen as well make sure that your luggage is below the weight limit heavy bags are an additional usd per bag,positive
1687,Verified Review,london heathrow to brussels disappointed by the non existent service onboard this flight regardless of how short the flight may well be you expect some sort of refreshmentssnacks to be provided given this isnt a low carrier airline however ba have hit rock bottom in that they charge premium rates but give low carrier service certainly on short haul flights,negative
1688,Verified Review,london heathrow to las vegas paid for extra legroom c as they show the wrong type of plane on my booking and there is no difference to any other seat you would get for free no refund given as it states it may be different aircraft used problem is this route has always used the same type of aircraft so its basically a con,negative
1689,Verified Review,london heathrow to san francisco return and pleasantly surprised with the service all flights were on time and arrived ahead of schedule online checkin and baggage drop straightforward and without hassle food was excellent particularly on outbound flight my partner is vegetarian and we both opted for vegetarian hindu meal which proved to be delicious aircraft in good order and clean cabin crew particularly on way out were professional attentive and friendly inflight entertainment choice was generally good offering something for everyone the only criticism is that seatchoice function is too expensive even for economy class british airways are being very greedy in this respect and their charges are way higher than other carriers this was generally a positive experience,positive
1691,Verified Review,on this route from amsterdam to tokyo haneda via london heathrow we had the expected service onboard the first flight was slightly delayed but our transfer time was more then hours so that didnt cost any problem the cabin crew did their best to statisfy every passenger at the flight to hnd when we got our luggage we discovered that one of the suitcases was damaged at hnd japan airlines is the agent for british airways and as it cost time to explain everything their service was great they filed a report to ba and when we are back from the journey we should contact ba to claim the damage we did and within a few days we got a really extensive response and were compensated despite this damaged suitcase it was handled great thats what made the difference to me,positive
1692,Verified Review,antigua to gatwick check in at the new terminal was quick and efficient better than gatwick and although we had a slight delay at immigration we were soon airside the new lounge was really comfortable and although we didnt use it it was dark when we were there they have an excellent sky terrace with loungers and shaded sofas etc the bar was manned by helpful staff with a small but tasty selection of food boarding was on time on board it was soon evident that the interior of the plane had seen better days with my wifes tv nearly falling off its mounting fortunately she was able to position it during the flight so that it stayed in place but it was quite precarious push back and departure was exactly on time within a short time the crew started the evening service and this is where it all seemed quite strange unlike the flight out where there was a more relaxed atmosphere the crew seemed to feel there was a need to rush whatever they were doing to the point that some of them were literally running down the aisles the food was hurriedly delivered to us and was disappointingly under seasoned and pretty tasteless i can only assume that the object of their haste was to get everyone fed and watered and bedded down as quickly as possible to be quite honest i felt like we were being looked after by a nanny and told to go to bed early and i almost expected them to say i want you to go to sleep now and i dont want to here a sound out any of you until the morning now i know that the crew are all entitled to their breaks etc but at the end of the day or night they are working and are getting paid to do so in my opinion if they just slowed down a little and had more time for the passengers it would improve the flight considerably breakfast was ok although i seemed to be the only person trying the bacon rolls and after one mouthful i understood why in a blind tasting i probably would have guessed i was eating rubber bands we arrived on time and after quite a long walk to immigration and the baggage reclaim our cases were waiting for us overall very disappointing and based on this flight i would not recommend ba,positive
1693,Verified Review,london heathrow to amsterdam schipol on ba landed at luggage did not arrive contacted ground agent they could not be less interested was given some toiletries but no essentials such as cleanser or moisturiser as it was a sunday all shops at amsterdam were closed at pm so was not able to buy essentials like make up called the luggage call centre times the first time the agent put a note in the system to say that i needed my luggage urgently because of a customer meeting the next day then received message on phone that the luggage would be on a flight arriving at subject to conditions called again to check if the luggage had left heathrow agent could not tell and rudely told me to wait called again at and finally got through agent said she would get someone to call me to let me know if it was possible for me to pick up the luggage at schipol no one called called the next day all the agent could tell me was that he had no idea when my luggage would be delivered message to ba management you can do better by having a truly on line tracing system and fulfilment system by employing people who do care about your customers and forget about telling your customers that of people get their luggage back within hours for business travellers that offers zero comfort take a leaf off qatar airways one of your one world partners they tell their customers if their luggage follows them during transit and qatar airways ground service staff show that they do care,positive
1694,Verified Review,i was pleasantly surprised with british airways on both outbound and inbound flights from orlando to gatwick after reading the reviews i would go as far as to say i would choose them over virgin now unless there was a dramatic price difference the crew both ways were friendly and really helpful i have found virgin crew to be a bit up themselves thinking they are a cut above the rest contrary to how virgin crew are on an overnight flight serve food dim lights and keep out the way until hour before landing ba crew still regularly came round making sure everyone was ok and if anyone wanted anything we had nearly hour delay leaving orlando on gviiu firstly due to inbound being a bit late due to an alligator closing the runway and finally a medical issue on board whilst positioned on runway to go we returned to gate for paramedics top up of fuel etc and departed at versus throughout the crew were fantastic bringing drinks round and keeping us all informed whilst the interior of the leisure fleet of is a bit on the tired side it was still comfortable i can recommend d as there is no pax seat behind just a crew seat so no issues with being kneed in the back for economy class leg room was good food was fairly decent for aircraft food only slight negative was the dated avod as it has small screens and not a great deal of choice compared to more modern systems,positive
1696,Verified Review,flew premium economy from london to toronto in a boeing noisy aircraft third time on this plane and not impressed seamless use of boarding pass on my smart phone first time i have done this as well as selfserve baggage drop flight good cabin crew pleasant food okish though nothing special back on a more comfortable and quieter than though still nowhere near a standards crew excellent food unexpectedly good the veggie lasagne was one of the best ive ever had and the wine of a good quality luggage appeared promptly at both ends overall a good experience,positive
1697,Verified Review,mexico city to copenhagen via london it appears inflight service has improved a bit in club and the food is now edible and available in flight entertainment reminds one of the vhs days number of films available is rather limited timing with food was great served quickly after take off and again late before arrival made time for a good rest configuration in club is not my favourite with reversed seats some crew choose to open the curtain every time the serve while other serve in front of you which will give you a better feeling of a private space best thing about ba is that its cheap and you can have the dorset crab for lunch at fornum and mason in terminal ba refuses to credit qatar airways avios even when qatar airways in writing has confirmed they should be credited showing one level on my online profile right now and anotheron my ticket i have given up on avios,positive
1698,Verified Review,london to santiago de chile surprisingly pleasing flight onboard boeing decided to give it a try to a rear facing business class window seat and discovered the b is or looks far lighter and wider than any b ive been travelling on could be larger windows or the fuselage shape which makes the cocoon look less cramped even the seat looks wider while the ife screen is wider with a higher resolution the odd yingyang layout is slightly better on boeing as the central rows do not have the honeymoon seats therefore you wont share such a narrow space with a stranger in case you end up there so first impression better than usual unfortunately the soft product remains way below par i preordered the main dish of the meal which this time was actually available but the beef was overcooked and chewy i will never stop mentioning that the amenity kit is simply ridiculous sort of a blue shoe bag too small to fit shoes though the crew very friendly but slightly less attentive than usual overall the experience was better than usual mainly thanks to a newer quieter aircraft but ba is not improving where they should in those details that make business class something worth eur spent still no wifi on ba not commenting the yingyang layout which remains a mystery to me who approved such a nonsense,positive
1699,Verified Review,gatwick to amsterdam as a regular flyer with ba my experience is that they have some of the best pilots and their inflight staff make all the efforts to give the airline an image beyond that they have some of the worst airport desk staff in the industry they have no solution for the slightest problem we were scheduled to fly to amsterdam on the st of feb at there was a radar problem in amsterdam easyjet etc were informing their customers of development nobody informed anyone at the ba desk until it became a confusion at almost we were rescheduled to the flight with another further hours delay before this i have been advised to book a ticket to guarantee a seat on the flight i now had two sets of ticket for same flight up to now getting a refund is a nightmare,positive
1700,Verified Review,how far ba has sunk flew london heathrow to nice and back last week surly and unfriendly cabin crew food and drinks for purchase does ba stand for budget airline now i never thought id see the day when i would say ba has sunk to and below the levels of ryanair service yet still around x more expensive,positive
1701,Verified Review,i was very disappointed because on my flight from athens to london a hour flight no food or drinks were offered for free we even had to pay for water this was not a low price flight and everyone except business class had to buy any food or drinks very very disappointed as other european airlines provide free food and drinksnacks even from countries such as greece aegean airlines will not choose ba again,negative
